SN,PLANT,DISEASE,CAUSAL AGENT,EFFECT/SYMPTOMS,CONTROL MEASURES
1,Apple,Apple Scab,"Apple scab is caused by the fungus Venturia inaequalis.It is common on susceptible apples and crabapples and causes leaves to yellow and drop prematurely in midsummer. In years with moist and cool spring weather, infection can cause widespread defoliation","The disease usually noticed on leaves and fruits.
Affected leaves become twisted or puckered and have black, circular spots on their upper surface.On the under surface of leaves, the spots are velvety and may coalesce to cover the whole leaf surface. 
Severely affected leaves may turn yellow and drop.
Scab can also infect flower stems and cause flowers to drop.
The lesions later become sunken and brown and may have spores around their marginsInfected fruit become distorted and may crack, allowing entry of secondary organisms.","Cultural Control:In affected orchards, new infections can be reduced by removing leaf litter and trimmings containing infected tissue from the orchard and incinerating them. This will reduce the amount of new ascospores released in the spring. Additionally, scab lesions on woody tissue can be excised from the tree if possible and similarly destroyed.
Chemical  Control:Chemical controls can include a variety of compounds. Benzimidazole fungicides, e.g., Benlate (now banned in many countries due to its containing the harmful chemical benzene) work well but resistance can arise quickly. A number of other chemical classes including sterol inhibitors such as Nova 40, and strobilurins such as Sovran are used extensively; however, some of these are slowly being phased out because of resistance problems."
2,Apple,Black Rot,"Black rot is a disease of apples that infects fruit, leaves and bark caused by the fungus Botryosphaeria obtusa. It can also jump to healthy tissue on pear or quince trees, but is typically a secondary fungus of weak or dead tissues in other plants","Leaf symptoms first occur early in the spring when the leaves are unfolding.
They appear as small, purple specks on the upper surface of the leaves that enlarge into circular lesions 1/8 to 1/4 inch (3-6 mm) in diameter.
The margin of the lesions remains purple, while the center turns tan to brown. In a few weeks, secondary enlargement of these leaf spots occurs.
Heavily infected leaves become chlorotic and defoliation occurs.
As the rotted area enlarges, a series of concentric bands of uniform width form which alternate in color from black to brown. The flesh of the rotted area remains firm and leathery. Black pycnidia are often seen on the surface of the infected fruit.
Lesions resulting in canker formation usually are associated with a wound in the bark.","Cultural Control:During the winter, check for cankers and remove them by cutting them out or pruning away 
the affectedlimbs at least six  inches beyond the wound.
Destroy all infected tissue immediately and keep a watchful eye out for new signs of infection. 
Chemical Control:Genrral purpose fungicides like copper based spraysand lime sulfer can be used to control black rot .The main method of control is application of fungicides from silver tip through harvest. Apple cultivars do not vary greatly in their susceptibility to black rot fungus; however, 'Empire' and 'Cortland' may be slightly more susceptible than others."
3,Apple,Cedar Apple Rust,"Cedar-apple rust (Gymnosporangium juniperivirginianae), cedar-hawthorn rust (G. globosum),and cedar-quince rust (G. clavipes) are closely related rust diseases that require two hosts to complete their life cycle. All three rusts can infect most varieties of eastern red cedar (Juniperus virginiana) as well as many other junipers and an alternate host.","On apple and crab-apple trees, look for pale yellow pinhead sized spots on the upper surface of the leaves shortly after bloom. 
These gradually enlarge to bright orange-yellow spots which make the disease easy to identify. 
Orange spots may develop on the fruit as well. Heavily infected leaves may drop prematurely.","Cultural Control:.As this fungus requires two host plants to complete its life cycle, removing one of the hosts can help prevent damage. Avoid planting juniper and rust-susceptible hosts in close proximity to each other.Use only resistant varieties in planting. Remove and replace diseased plants with resistant varieties.
Chemical Control:Use preventive fungicides labeled for use on apples. Fungicide sprays are aimed at protecting developing foliage from infection during the time the galls on the junipers are orange and gelatinous. This usually lasts for several weeks and fungicide applications are not necessary once the galls become dry and inactive. Pesticides registered for use include captan, chlorothalonil (Daconil), copper, mancozeb, maneb, sulfur, thiophanate methyl (Cleary 3336), thiram, triadimefon, and ziram."
4,Apple,Healthy,,,
5,Blueberry,Healthy,,,
6,Cherry(Including sour),Powdery Mildew,"Podosphaera clandestina, 
an obligate biotrophic fungus","Initial symptoms, often occurring 7 to 10 days after the onset of the first irrigation,are light roughly-circular, powdery looking patches on young, susceptible leaves (newly unfolded, and light green expanding leaves).Older leaves develop an age-related (ontogenic) resistance to powdery mildew and are naturally more resistant to infection than younger leaves.","Remove diseased foliage from the plant and clean up fallen debris on the ground. Manage irrigation.In a typical dry spring, early irrigation may stimulate early cherry powdery mildew infections.
Apply sulfur or copper-based fungicides to prevent infection of susceptible plants. For best results, apply early or at first sign of disease. Spray all plant parts thoroughly and repeat at 7-10 day intervals up to the day of harvest.Effectively treat fungal diseases with SERENADE Garden. This broad spectrum bio-fungicide uses a patented strain of Bacillus subtilis that is approved for organic gardening. Best of all, it’s safe to use — you can treat and pick crops the same day!
."
7,Cherry(Including sour),Healthy,,,
8,Corn(Maize),Cercospora (Gray) leaf spot," Cercospora zeae-maydis and Cercospora zeina
( fungal pathogens ) ","Symptoms seen on corn include leaf lesions, discoloration (chlorosis), and foliar blight.
The initial symptoms of grey leaf spot emerge as small, dark, moist spots that are encircled by a thin, yellow radiance (lesions forming). The tissue within the “spot"" begins to die as spot size increases into longer, narrower leaf lesions. Although initially brownish and yellow, the characteristic grey color that follows is due to the production of grey fungal spores (conidia) on the lesion surface.","Poor airflow, low sunlight, overcrowding, improper soil nutrient and irrigation management, and poor soil drainage can all contribute to the propagation of the disease.
Management techniques include crop resistance, crop rotation, residue management, use of fungicides, and weed control. The purpose of disease management is to prevent the amount of secondary disease cycles as well as to protect leaf area from damage prior to grain formation.Fungicides, if sprayed early in season before initial damage, can be effective in reducing disease.
Currently there are 5 known fungicides that treat Corn grey leaf spot:
Headline EC (active ingredient: pyraclostrobin)
Quilt (active ingredient: azoxystrobin + propiconazole)
Proline 480 SC (active ingredient: prothioconazole)
Tilt 250 E, Bumper 418 EC (active ingredient: propiconazole)"
9,Corn(Maize),Common Rust ,fungus Puccinia sorghi,"Symptoms of common rust often appear after silking.
Small, round to elongate brown pustules form on both leaf surfaces and other above ground parts of the plant.
As the pustules mature they become brown to black.
If disease is severe, the leaves may yellow and die early.","Select rust-resistant plant varieties when available.
Pick off and destroy infected leaves and frequently rake under plants to remove all fallen debris.
If applied properly and in a timely manner, fungicide treatments can be effective in protecting corn leaves from foliar diseases."
10,Corn(Maize),Northen Leaf Blight ,Fungus Exserohilum turcicum," The most common diagnostic symptom of the disease on corn is cigar-shaped or elliptical necrotic gray-green lesions on the leaves that range from one to seven inches long.These lesions may first appear as narrow, tan streaks that run parallel to the leaf veins. Fully developed lesions typically have a sooty appearance during humid weather, as a result of spore (conidia) formation. As the disease progresses, the lesions grow together and create large areas of dead leaf tissue. The lesions found in Northern corn leaf blight are more acute if the leaves above the ear are infected during or soon after flowering of the plant.In susceptible corn hybrids, lesions are also found on the husk of ears or leaf sheaths.","Several ways to change cropping practices to control the disease include reducing the amount of infected residue left in a field, managing weeds to improve airflow and reduce humidity, or encouraging residue decomposition with tillage.
 The tillage will assist in breaking down crop debris and reducing existing inoculum.
 In a system with normal tillage, a one-year rotation out of corn can be effective, but a two-year rotation may be required for a reduced-tillage system.
 If possible, planting in low areas that receive heavy dew and fog should be avoided.
Selecting resistant hybrids; reducing corn residue by crop rotation, tillage, or stover harvest; and applying foliar fungicides are the primary means of controlling northern leaf blight.
Fungicide application may reduce yield losses, but economic return depends on hybrid resistance level, cropping history, tillage practices, location, corn price, yield potential and weather."
